_id,Vorname,Anzahl,Geschlecht
300,Marija,9,w
301,Marta,9,w
302,Martha,9,w
303,Muhammed,9,m
304,Nael,9,m
305,Omar,9,m
306,Rita,9,w
307,Stefan,9,m
308,Teo,9,m
309,Vito,9,m
310,Ahmed,8,m
311,Alexandra,8,w
312,Alicia,8,w
313,Asya,8,w
314,August,8,m
315,Bruno,8,m
316,Carolina,8,w
317,Dani,8,m
318,Diego,8,m
319,Ela,8,w
320,Eliana,8,w
321,Elio,8,m
322,Emir,8,m
323,Gustav,8,m
324,Hira,8,w
325,Ina,8,w
326,Kaan,8,m
327,Katharina,8,w
328,Laurenz,8,m
329,Leano,8,m
330,Leyla,8,w
331,Lily,8,w
332,Lion,8,m
333,Lionel,8,m
334,Lou,8,w
335,Louise,8,w
336,Luana,8,w
337,Marko,8,m
338,Marla,8,w
339,Matthias,8,m
340,Melissa,8,w
341,Miran,8,m
342,Mona,8,w
343,Niko,8,m
344,Nino,8,m
345,Noar,8,m
346,Otto,8,m
347,Pablo,8,m
348,Philip,8,m
349,Robin,8,m
350,Tilda,8,w
351,Una,8,w
352,Vera,8,w
353,Yara,8,w
354,Aisha,7,w
355,Alena,7,w
356,Alia,7,w
357,Amélie,7,w
358,Ana,7,w
359,Andrea,7,w
360,Andrej,7,m
361,Arda,7,m
362,Aria,7,w
363,Ariana,7,w
364,Can,7,m
365,Christina,7,w
366,Cosima,7,w
367,Cosmo,7,m
368,Eleni,7,w
369,Elin,7,w
370,Enes,7,m
371,Eric,7,m
372,Erik,7,m
373,Fatima,7,w
374,Giulia,7,w
375,Harun,7,m
376,Hugo,7,m
377,Imran,7,m
378,Iris,7,w
379,Kira,7,w
380,Lana,7,w
381,Leandro,7,m
382,Leonora,7,w
383,Lino,7,m
384,Lotte,7,w
385,Mads,7,m
386,Mahir,7,m
387,Mariella,7,w
388,Maryam,7,w
389,Mathea,7,w
390,Mats,7,m
391,Merle,7,w
392,Nika,7,w
393,Ophelia,7,w
394,Robert,7,m
395,Sami,7,m
396,Tamara,7,w
397,Valentino,7,m
398,Veronika,7,w
399,Viktor,7,m
400,Zain,7,m
401,Zeynep,7,w
402,Ahmad,6,m
403,Alan,6,m
404,Alessia,6,w
405,Anouk,6,w
406,Artur,6,m
407,Christian,6,m
408,Daria,6,w
409,Eleonora,6,w
410,Eliah,6,m
411,Ellie,6,w
412,Emilie,6,w
413,Emin,6,m
414,Florentin,6,m
415,Gabriela,6,w
416,Helen,6,w
417,Idris,6,m
418,Inaya,6,w
419,Iva,6,w
420,Jakub,6,m
421,Karlo,6,m
422,Kiara,6,w
423,Kiyan,6,m
424,Korbinian,6,m
425,Lasse,6,m
426,Leandra,6,w
427,Leia,6,w
428,Lilia,6,w
429,Liyana,6,w
430,Lorenzo,6,m
431,Lucía,6,w
432,Madeleine,6,w
433,Malek,6,m
434,Manuel,6,m
435,Marin,6,m
436,Marina,6,w
437,Matej,6,m
438,Mayla,6,w
439,Mohamed,6,m
440,Mohammed,6,m
441,Nelio,6,m
442,Nikola,6,m
443,Ole,6,m
444,Ömer,6,m
445,Osman,6,m
446,Penelope,6,w
447,Ruby,6,w
448,Selin,6,w
449,Selma,6,w
450,Sena,6,w
451,Sofija,6,w
452,Tiago,6,m
453,William,6,m
454,Wilma,6,w
455,Yasin,6,m
456,Yusuf,6,m
457,Adian,5,m
458,Adriana,5,w
459,Alexis,5,m
460,Amadeus,5,m
461,Amaya,5,w
462,Amila,5,w
463,Amra,5,w
464,Andreas,5,m
465,Aren,5,m
466,Ari,5,m
467,Armin,5,m
468,Aslan,5,m
469,Athena,5,w
470,Aya,5,w
471,Ayra,5,w
472,Azra,5,w
473,Bastian,5,m
474,Bo,5,m
475,Bogdan,5,m
476,Carolin,5,w
477,Casper,5,m
478,Cecilia,5,w
479,Celine,5,w
480,Céline,5,w
481,Charlie,5,m
482,Clemens,5,m
483,Damian,5,m
484,Darian,5,m
485,Dominic,5,m
486,Dorian,5,m
487,Eda,5,w
488,Edgar,5,m
489,Elsa,5,w
490,Emilian,5,m
491,Emmy,5,w
492,Enzo,5,m
493,Franka,5,w
494,Frederick,5,m
495,Fridolin,5,m
496,Gaia,5,w
497,Georgios,5,m
498,Gloria,5,w
499,Greta,5,w
500,Helene,5,w
501,Henrik,5,m
502,Ian,5,m
503,Ismail,5,m
504,Ivano,5,m
505,James,5,m
506,Jara,5,w
507,Jon,5,m
508,Josip,5,m
509,Juli,5,w
510,Karan,5,m
511,Karim,5,m
512,Kaspar,5,m
513,Kaya,5,w
514,Kristian,5,m
515,Laetitia,5,w
516,Lars,5,m
517,Leonidas,5,m
518,Lilith,5,w
519,Magnus,5,m
